Var1.X1,Var1.X2,Var1.X3,Var1.X4,Var1.X5,Var2,Var3,Var4,Var5
DFE1,0.5,0.24,0.12,0.13,9.8e-06,2e-06,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-06,2e-06,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-06,2e-06,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-07,2e-06,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-07,2e-06,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-07,2e-06,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-08,2e-06,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-08,2e-06,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-08,2e-06,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,var,2e-06,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,var,2e-06,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,var,2e-06,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-06,2e-07,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-06,2e-07,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-06,2e-07,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-07,2e-07,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-07,2e-07,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-07,2e-07,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-08,2e-07,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-08,2e-07,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-08,2e-07,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,var,2e-07,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,var,2e-07,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,var,2e-07,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-06,2e-08,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-06,2e-08,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-06,2e-08,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-07,2e-08,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-07,2e-08,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-07,2e-08,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-08,2e-08,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-08,2e-08,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-08,2e-08,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,var,2e-08,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,var,2e-08,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,var,2e-08,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-06,var,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-06,var,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-06,var,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-07,var,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-07,var,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-07,var,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-08,var,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-08,var,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-08,var,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,var,var,0.01,0.38
DFE2,0.1,0.7,0.1,0.1,var,var,0.01,0.38
DFE3,0.1,0.1,0.1,0.7,var,var,0.01,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-06,2e-06,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-06,2e-06,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-06,2e-06,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-07,2e-06,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-07,2e-06,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-07,2e-06,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-08,2e-06,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-08,2e-06,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-08,2e-06,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,var,2e-06,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,var,2e-06,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,var,2e-06,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-06,2e-07,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-06,2e-07,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-06,2e-07,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-07,2e-07,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-07,2e-07,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-07,2e-07,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-08,2e-07,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-08,2e-07,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-08,2e-07,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,var,2e-07,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,var,2e-07,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,var,2e-07,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-06,2e-08,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-06,2e-08,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-06,2e-08,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-07,2e-08,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-07,2e-08,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-07,2e-08,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-08,2e-08,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-08,2e-08,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-08,2e-08,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,var,2e-08,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,var,2e-08,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,var,2e-08,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-06,var,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-06,var,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-06,var,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-07,var,0.07,0.38
DFE2,0.1,0.7,0.1,0.1,9.8e-07,var,0.07,0.38
DFE3,0.1,0.1,0.1,0.7,9.8e-07,var,0.07,0.38
DFE1,0.5,0.24,0.12,0.13,9.8e-08,var,0.07,0.38
